no,kode_rs,propinsi,pemilik,nama_rs,ranap,rajal,total,kelas
119,3277019,JAWA BARAT,Swasta,RSU AVISENA,"30,066","376,451","406,517",C
120,1275890,SUMATERA UTARA,Swasta,RSU BUNDA THAMRIN,"48,075","356,903","404,978",C
121,3324036,JAWA TENGAH,Swasta,RS ISLAM KENDAL,"51,070","353,442","404,513",C
122,3175042,DKI JAKARTA,Swasta,RS PELABUHAN TG.PRIOK,"35,851","368,511","404,362",C
123,3375033,JAWA TENGAH,Swasta,RS SITI KHODIJAH,"32,465","371,677","404,143",C
124,3671043,BANTEN,Swasta,RS SARI ASIH KARAWACI,"46,365","357,417","403,934",C
125,3276124,JAWA BARAT,Pemerintah,RSUD KHIDMAT SEHAT AFIAT KOTA DEPOK,"24,878","378,954","403,839",C
126,3307013,JAWA TENGAH,Pemerintah,RSUD WONOSOBO,"46,692","354,649","401,341",C
127,3328055,JAWA TENGAH,Swasta,RS ISLAM PKU MUHAMMADIYAH,"69,338","329,759","399,097",C
128,3201061,JAWA BARAT,Swasta,RS TUGU IBU,"30,318","367,228","397,569",C
129,3674014,BANTEN,Swasta,RS HERMINA SERPONG,"30,991","366,223","397,216",C
130,3325037,JAWA TENGAH,Swasta,RS QIM,"34,801","361,309","396,110",C
131,5104035,BALI,Swasta,RS ARI CANTI,"30,694","364,822","395,516",C
132,3503011,JAWA TIMUR,Pemerintah,RSU DR. SOEDOMO TRENGGALEK,"61,233","333,021","394,256",C
133,3510103,JAWA TIMUR,Swasta,RS AL HUDA GENTENG,"51,821","341,243","393,064",C
134,1305014,SUMATERA BARAT,Pemerintah,RSU PROF. DR. M. A. HANAFIAH,"27,082","365,097","392,179",C
135,5107015,BALI,Pemerintah,RSU KARANGASEM,"41,101","350,321","391,422",C
136,3574012,JAWA TIMUR,Pemerintah,RSU DR. MOH. SALLEH PROBOLINGGO,"39,122","349,472","388,594",C
137,3271139,JAWA BARAT,Swasta,RS TRIMITRA,"37,817","349,975","387,792",C
138,3501016,JAWA TIMUR,Pemerintah,RSUD DR. DARSONO,"45,387","340,694","386,081",C
139,3202086,JAWA BARAT,Swasta,RS KARTIKA CIBADAK,"32,960","352,971","385,931",C
140,1208016,SUMATERA UTARA,Pemerintah,RSU H.ABD.MANAN SIMATUPANG,"31,058","354,325","385,383",C
141,3304010,JAWA TENGAH,Pemerintah,RSU BANJARNEGARA,"41,761","343,128","384,889",C
142,3326016,JAWA TENGAH,Swasta,RSI PKU MUHAMMADIYAH PEKAJANG,"33,032","351,569","384,601",C
143,6471025,KALIMANTAN TIMUR,Swasta,RS PERTAMINA BALIKPAPAN,"30,621","353,427","384,049",C
144,3273106,JAWA BARAT,Swasta,RSU MUHAMMADIYAH BANDUNG,"28,522","353,640","382,161",C
145,3578742,JAWA TIMUR,Swasta,RS ISLAM DARUS SYIFA,"31,689","347,990","379,679",C
146,3323024,JAWA TENGAH,Swasta,RS NGESTI WALUYO,"41,506","338,062","379,569",C
147,1275516,SUMATERA UTARA,Swasta,RSU MITRA MEDIKA,"37,642","340,316","377,958",C
148,1802038,LAMPUNG,Swasta,RS MITRA HUSADA,"63,900","308,600","372,510",C
149,3201150,JAWA BARAT,Swasta,RS FAMILY MEDICAL CENTRE,"16,662","354,726","371,388",C
150,3275229,JAWA BARAT,Swasta,RSU ANNA,"22,749","348,246","370,996",C
151,3674168,BANTEN,Pemerintah,RSU DAERAH TANGERANG SELATAN,"15,225","354,037","369,455",C
152,1112011,NAD,Pemerintah,RSU TEUNGKU PEUKAN,"54,896","313,956","368,852",C
153,3321034,JAWA TENGAH,Swasta,RS PELITA ANUGERAH,"33,066","333,967","367,033",C
154,3302191,JAWA TENGAH,Pemerintah,RSUD AJIBARANG,"44,788","321,105","365,893",C
155,3202040,JAWA BARAT,Pemerintah,RSU PELABUHAN RATU,"62,162","302,712","364,874",C
156,3171450,DKI JAKARTA,Swasta,RSU SETIA MITRA,"9,299","354,855","364,154",C
157,3329056,JAWA TENGAH,Swasta,RS ISLAM SITI AMINAH,"36,757","326,950","363,707",C
158,7171050,SULAWESI UTARA,Swasta,RSU PANCARAN KASIH,"35,814","327,635","363,450",C
159,7305012,SULAWESI SELATAN,Pemerintah,RSU H. PAJONGA DG.NGALE TAKALAR,"55,030","308,379","363,409",C
160,1571023,JAMBI,Pemerintah,RUMKIT TK IV DR. BRATANATA UNANG,"65,858","297,443","363,302",C
161,3373020,JAWA TENGAH,Pemerintah,RSU TK IV 04.07.03 DR ASMIR,"40,499","322,135","362,634",C
162,3326038,JAWA TENGAH,Pemerintah,RSUD KAJEN KAB. PEKALONGAN,"39,050","322,349","361,399",C
163,1971043,BANGKA BELITUNG,Swasta,RSU BAKTI TIMAH,"45,796","315,269","361,065",C
164,3215023,JAWA BARAT,Swasta,RS BAYUKARTA,"28,060","332,699","360,759",C
165,3202073,JAWA BARAT,Swasta,RS BETHA MEDIKA,"39,703","320,177","359,880",C
166,1471397,RIAU,Swasta,RSU PRIMA PEKAN BARU,"42,483","313,949","356,432",C
167,1408080,RIAU,Swasta,RUMAH SAKIT PERMATA HATI,"25,879","330,454","356,334",C
168,3276039,JAWA BARAT,Pemerintah,RS BHAYANGKARA BRIMOB,"29,889","325,399","355,288",C
169,7310016,SULAWESI SELATAN,Pemerintah,RSUD PANGKEP,"48,844","306,296","355,140",C
170,6471036,KALIMANTAN TIMUR,Pemerintah,RUMKIT TK II DR. R HARDJANTO,"34,125","319,592","353,717",C
171,1374013,SUMATERA BARAT,Pemerintah,RSUD PADANG PANJANG,"23,559","327,100","350,784",C
172,3374032,JAWA TENGAH,Swasta,RS WILLIAM BOOTH,"16,832","333,381","350,214",C
173,3206023,JAWA BARAT,Pemerintah,RSUD KABUPATEN TASIKMALAYA,"57,526","291,301","348,827",C
174,3372234,JAWA TENGAH,Pemerintah,RSUD KOTA SURAKARTA,"33,488","315,096","348,584",C
175,1104011,NAD,Pemerintah,RSUD KUTACANE,"46,960","300,873","348,000",C
176,3315024,JAWA TENGAH,Swasta,RS PANTI RAHAYU,"42,352","305,296","347,648",C
177,3311228,JAWA TENGAH,Pemerintah,RS UNIVERSITAS SEBELAS MARET,"26,812","319,066","345,878",C
178,3273096,JAWA BARAT,Swasta,RSU PINDAD,"26,216","317,099","343,315",C
179,1275913,SUMATERA UTARA,Pemerintah,RS UNIVERSITAS SUMATERA UTARA,"15,774","326,304","342,078",C
180,3329078,JAWA TENGAH,Swasta,RS BHAKTI ASIH,"54,897","286,946","341,843",C
181,3520012,JAWA TIMUR,Pemerintah,RSU DR. SAYIDIMAN MAGETAN,"52,838","287,898","340,743",C
182,3171702,DKI JAKARTA,Swasta,RSIA ZAHIRAH,"23,602","316,236","339,838",C
183,3217121,JAWA BARAT,Swasta,RS CAHYA KAWALUYAAN,"26,200","313,104","339,356",C
184,6171138,KALIMANTAN BARAT,Pemerintah,RSUD SULTAN SYARIF MOHAMAD ALKADRIE,"26,495","311,845","338,340",C
185,3403010,DIY,Pemerintah,RSU WONOSARI,"37,775","299,131","337,507",C
186,7318054,SULAWESI SELATAN,Pemerintah,RSU LAKIPADADA TANA TORAJA,"41,652","295,095","336,747",C
187,1902010,BANGKA BELITUNG,Pemerintah,RSUD KAN. BELITUNG,"40,366","295,196","335,562",C
188,6203015,KALIMANTAN TENGAH,Pemerintah,RSU DR H SOEMARNO S,"30,751","303,080","333,832",C
189,1471383,RIAU,Swasta,RSU SANSANI,"39,092","294,636","333,728",C
190,3519023,JAWA TIMUR,Pemerintah,RSUD CARUBAN,"40,119","291,746","331,865",C
191,5171031,BALI,Pemerintah,RUMKIT TK III UNDAYA,"26,721","304,607","331,340",C
192,3518022,JAWA TIMUR,Pemerintah,RSUD KERTOSONO,"38,849","292,406","331,321",C
193,3372041,JAWA TENGAH,Swasta,RS BRAYAT MINULYA,"17,594","313,375","330,968",C
194,3322023,JAWA TENGAH,Pemerintah,RSUD UNGARAN,"38,326","291,897","330,225",C
195,3273517,JAWA BARAT,Swasta,RSU A M C,"41,429","287,900","329,329",C
196,3271024,JAWA BARAT,Pemerintah,RUMKIT TK IV SALAK BOGOR,"32,258","296,377","328,635",C
197,3171790,DKI JAKARTA,Pemerintah,RSU KECAMATAN TEBET,"14,915","312,739","327,654",C
198,2001013,KEPULAUAN RIAU,Pemerintah,RSUD KAB. KARIMUN,"29,945","297,674","327,619",C
199,3215158,JAWA BARAT,Swasta,RS FIKRI MEDIKA,"69,522","255,237","324,759",C
200,3171574,DKI JAKARTA,Swasta,RSU PRIKASIH,"25,540","298,976","324,516",C
201,5371058,NTT,Swasta,RSU LEONA KUPANG,"51,391","271,176","322,567",C
202,3578122,JAWA TIMUR,Pemerintah,RUMKIT TK III BRAWIJAYA,"16,592","304,575","321,168",C
203,7371426,SULAWESI SELATAN,Swasta,RS HERMINA MAKASSAR,"23,514","297,597","321,113",C
204,3578766,JAWA TIMUR,Swasta,RS WIYUNG SEJAHTERA,"28,701","292,132","320,835",C
205,3515126,JAWA TIMUR,Swasta,RSU AL-ISLAM HM. MAWARDI KRIAN,"27,944","291,393","319,337",C
206,3175408,DKI JAKARTA,Swasta,RUMAH SAKIT UMUM FIRDAUS,"35,658","282,944","318,602",C
207,1309022,SUMATERA BARAT,Swasta,RS ISLAM IBNU SINA SIMPANG IV,"33,719","284,516","318,235",C
208,3206070,JAWA BARAT,Swasta,RS JASAKARTINI,"25,734","290,858","316,592",C
209,9205015,PAPUA,Pemerintah,RSU BIAK,"49,219","267,250","316,280",C
210,3215134,JAWA BARAT,Swasta,RS IZZA,"33,003","282,014","315,017",C
211,1805045,LAMPUNG,Swasta,RS HARAPAN BUNDA,"34,737","279,780","314,517",C
212,3308014,JAWA TENGAH,Pemerintah,RSUD MUNTILAN KAB MAGELANG,"31,236","282,004","313,241",C
213,1274034,SUMATERA UTARA,Swasta,RS PTPN III SRI PAMELA,"24,103","287,383","311,486",C
214,3304021,JAWA TENGAH,Swasta,RSU EMMANUEL,"27,539","283,121","310,661",C
215,6372014,KALIMANTAN SELATAN,Pemerintah,RUMAH SAKIT DAERAH IDAMAN KOTA BANJARBARU,"48,987","261,403","310,404",C
216,1471396,RIAU,Swasta,RS AULIA HOSPITAL,"33,166","276,440","309,606",C
217,1276075,SUMATERA UTARA,Swasta,RSU BIDADARI,"33,998","274,346","308,344",C
218,3310421,JAWA TENGAH,Pemerintah,RUMAH SAKIT UMUM DAERAH BAGAS WARAS,"27,985","279,901","307,886",C
219,3272051,JAWA BARAT,Swasta,RS ASSYIFA SUKABUMI,"35,411","271,077","306,488",C
220,3672034,BANTEN,Swasta,RSIA KURNIA,"36,486","269,719","306,206",C
221,3275307,JAWA BARAT,Swasta,RS SILOAM BEKASI SEPANJANG JAYA,"24,620","281,456","306,077",C
222,1471135,RIAU,Swasta,RS ISLAM IBNU SINA,"21,547","282,329","303,876",C
223,3274053,JAWA BARAT,Swasta,RS PELABUHAN CIREBON,"39,846","263,529","303,375",C
224,1571159,JAMBI,Swasta,RS ISLAM ARAFAH,"36,316","267,016","303,332",C
225,3201035,JAWA BARAT,Swasta,RS BHAKTI YUDHA,"19,861","283,206","303,067",C
226,3404193,DIY,Swasta,RSU HERMINA YOGJA,"15,852","287,032","302,901",C
227,3318075,JAWA TENGAH,Swasta,RS MITRA BANGSA,"21,001","281,226","302,227",C
228,3301073,JAWA TENGAH,Swasta,RS ISLAM FATIMAH,"39,230","262,862","302,092",C
229,3315035,JAWA TENGAH,Swasta,RSB PERMATA BUNDA,"42,370","259,625","302,020",C
230,3275024,JAWA BARAT,Swasta,RSU MEKAR SARI,"21,346","279,169","301,022",C
231,1275923,SUMATERA UTARA,Swasta,RSU MITRA MEDIKA AMPLAS,"31,696","268,246","299,942",C
232,3325015,JAWA TENGAH,Pemerintah,RSUD KAB. BATANG,"39,444","259,474","298,918",C
233,6471079,KALIMANTAN TIMUR,Pemerintah,RSUD BALIKPAPAN,"34,717","264,082","298,799",C
234,1171150,NAD,Swasta,RS PERTAMEDIKA UMMI ROSNATI,"40,189","258,374","298,563",C
235,5104034,BALI,Swasta,RS GANESHA,"18,437","280,083","298,520",C
236,3374145,JAWA TENGAH,Swasta,RS HERMINA PANDANARAN,"30,445","268,050","298,495",C
237,3511012,JAWA TIMUR,Pemerintah,RS. BHAYANGKARA TK.IV BONDOWOSO,"31,204","266,525","297,729",C
238,6171022,KALIMANTAN BARAT,Pemerintah,RUMKIT TK III KARTIKA HUSADA,"35,548","261,687","297,235",C
239,3573226,JAWA TIMUR,Swasta,RS ISLAM MALANG,"17,173","279,905","297,078",C
240,7311010,SULAWESI SELATAN,Pemerintah,RSU BARRU,"29,877","267,173","297,050",C
241,1114011,NAD,Pemerintah,RSUD ACEH TAMIANG,"62,612","232,927","295,590",C
242,1872042,LAMPUNG,Swasta,RSU MUHAMMADIYAH METRO,"46,033","249,288","295,389",C
243,1376011,SUMATERA BARAT,Swasta,RSU IBNU SINA,"17,221","277,711","294,932",C
244,1275909,SUMATERA UTARA,Swasta,RSU MADANI,"39,593","254,060","293,652",C
245,1309011,SUMATERA BARAT,Pemerintah,RSUD LUBUK SIKAPING,"30,716","262,821","293,537",C
246,7325016,SULAWESI SELATAN,Pemerintah,RSUD I LAGALIGO,"53,136","238,995","292,131",C
247,3571122,JAWA TIMUR,Swasta,RSIA MUHAMMADIYAH KEDIRI,"42,208","249,767","291,975",C
248,1806035,LAMPUNG,Swasta,RS HANDAYANI,"55,133","235,918","291,051",C
249,3216185,JAWA BARAT,Swasta,RS HOSANA MEDIKA,"24,356","265,610","289,966",C
250,3603060,BANTEN,Swasta,RSU BHINEKA BAKTI HUSADA,"14,426","273,810","288,236",C
251,3215056,JAWA BARAT,Swasta,RS KARYA HUSADA,"31,197","256,113","287,310",C
252,7171024,SULAWESI UTARA,Pemerintah,RS ABRI TK III MANADOROBERT W. MONGINSIDI/ RS TK.TELING MANADO,"40,539","246,763","287,306",C
253,3216174,JAWA BARAT,Swasta,RS RAWA LUMBU,"20,890","265,568","286,462",C
254,3573246,JAWA TIMUR,Swasta,RSU HERMINA TANGKUBANPRAHU,"15,253","269,969","285,222",C
255,1901031,BANGKA BELITUNG,Swasta,RS MEDIKA STANIA,"33,264","251,359","284,624",C
256,1308016,SUMATERA BARAT,Pemerintah,RSU LUBUK BASUNG,"17,555","266,886","284,441",C
257,3201244,JAWA BARAT,Swasta,RS PERMATA JONGGOL,"20,614","263,034","283,648",C
258,5171086,BALI,Swasta,RSU SURYA HUSADHA,"17,675","265,635","283,311",C
259,5103036,BALI,Swasta,RSU SURYA HUSADHA NUSADUA,"15,340","267,115","282,455",C
260,3201152,JAWA BARAT,Swasta,RSU MARY CILEUNGSIH HIJAU,"41,193","240,586","281,779",C
261,6307012,KALIMANTAN SELATAN,Pemerintah,RSU H DAMANHURI BARABAI,"45,208","235,348","280,560",C
262,3320089,JAWA TENGAH,Swasta,RS PKU MUHAMMADIYAH MAYONG,"24,843","254,544","279,848",C
263,3175412,DKI JAKARTA,Pemerintah,RSUD TUGU KOJA,"17,751","261,642","279,400",C
264,3603169,BANTEN,Swasta,METRO HOSPITALS CIKUPA,"40,883","238,226","279,111",C
265,3603023,BANTEN,Swasta,RS QADR,"35,222","243,357","278,580",C
266,3301084,JAWA TENGAH,Pemerintah,RSUD MAJENANG,"43,695","234,156","277,852",C
267,3214035,JAWA BARAT,Swasta,RSU AMIRA PURWAKARTA,"27,198","250,425","277,623",C
268,3512012,JAWA TIMUR,Pemerintah,RSUD DR. ABDOER RAHEM SITUBONDO,"39,610","237,577","277,362",C
269,5104036,BALI,Swasta,RS FAMILI HUSADA,"21,525","255,659","277,184",C
270,6309014,KALIMANTAN SELATAN,Pemerintah,RSUD H. BADARUDIN,"30,806","245,735","276,541",C
271,1671243,SUMATERA SELATAN,Swasta,RS BUNDA,"30,276","244,828","275,109",C
272,6474021,KALIMANTAN TIMUR,Swasta,RS PUPUK KALTIM,"20,621","253,737","274,358",C
273,6371152,KALIMANTAN SELATAN,Pemerintah,RUMKIT BHAYANGKARA BANJARMASIN,"15,359","257,043","272,402",C
274,3307051,JAWA TENGAH,Swasta,RS PKU MUHAMMADIYAH WONOSOBO,"28,655","243,578","272,233",C
275,3579074,JAWA TIMUR,Swasta,RS BAPTIS BATU,"20,083","252,033","272,120",C
276,3203038,JAWA BARAT,Swasta,RSU DR. HAFIZ,"52,197","219,679","271,876",C
277,3314056,JAWA TENGAH,Swasta,RSU AMAL SEHAT SRAGEN,"20,431","250,992","271,438",C
278,3216386,JAWA BARAT,Swasta,RS AMANDA,"26,392","244,816","271,210",C
279,1671276,SUMATERA SELATAN,Swasta,RS MYRIA PALEMBANG,"30,380","239,488","269,868",C
280,3201218,JAWA BARAT,Swasta,RS ISLAM BOGOR,"22,303","247,483","269,788",C
281,3375022,JAWA TENGAH,Swasta,RS BUDI RAHAYU,"24,832","244,898","269,730",C
282,1871416,LAMPUNG,Swasta,RSU GRAHA HUSADA,"36,449","233,087","269,536",C
283,3603082,BANTEN,Swasta,RSU ICHSAN MEDICAL CENTER,"15,223","254,309","269,532",C
284,3403023,DIY,Swasta,RS PANTI RAHAYU,"18,243","250,614","269,054",C
285,7317053,SULAWESI SELATAN,Pemerintah,RSU ANDI JEMMA MASAMBA,"50,961","217,191","268,152",C
286,6308013,KALIMANTAN SELATAN,Pemerintah,RSUD PAMBALAH BATUNG,"43,371","224,761","268,132",C
287,3211026,JAWA BARAT,Swasta,RS PAKUWON,"29,195","238,729","267,924",C
288,3214038,JAWA BARAT,Swasta,RS BHAKTI HUSADA II PURWAKARTA,"34,621","233,245","267,866",C
289,1271032,SUMATERA UTARA,Swasta,RS METTA MEDIKA SIBOLGA,"36,991","230,800","267,791",C
290,3374065,JAWA TENGAH,Pemerintah,RUMKIT TK III BHAKTI WIRA TAMTAMA SEMARANG,"39,609","225,365","264,974",C
291,1275094,SUMATERA UTARA,Swasta,RS ADVENT MEDAN,"28,280","235,113","263,393",C
292,2071053,KEPULAUAN RIAU,Swasta,RS ST ELISABETH BATAM KOTA,"27,919","234,885","262,804",C
293,3603192,BANTEN,Swasta,RS MITRA KELUARGA GADING SERPONG,"15,111","247,099","262,210",C
294,3208046,JAWA BARAT,Swasta,RS JUANDA KUNINGAN,"38,986","223,018","262,017",C
295,3372030,JAWA TENGAH,Pemerintah,RUMKIT TK IIII SLAMET RIYADI,"16,340","245,353","261,694",C
296,7315014,SULAWESI SELATAN,Pemerintah,RS LASINRANG PINRANG,"52,378","208,272","260,660",C
297,1871427,LAMPUNG,Swasta,RS PERTAMINA-BINTANG AMIN LAMPUNG,"40,352","218,940","260,040",C
298,1303012,SUMATERA BARAT,Pemerintah,RSU MUARA LABUH,"24,194","235,724","259,918",C
299,3216417,JAWA BARAT,Swasta,RS TIARA,"32,901","226,796","259,697",C
300,1275898,SUMATERA UTARA,Swasta,SUMATERA EYE HOSPITAL,"4,214","255,215","259,430",C
301,3671135,BANTEN,Swasta,RSU MULYA,"24,058","234,929","258,988",C
302,3276151,JAWA BARAT,Swasta,RSU PERMATA DEPOK,"20,179","238,646","258,828",C
303,5204013,NTB,Pemerintah,RSUD SUMBAWA BESAR,"33,478","225,286","258,764",C
304,1871234,LAMPUNG,Swasta,RSU BUMI WARAS,"39,323","218,569","257,893",C
305,1408032,RIAU,Pemerintah,RSUD MANDAU,"21,511","236,322","257,837",C
306,3311213,JAWA TENGAH,Swasta,RSU NIRMALA SURI,"22,427","233,477","255,904",C
307,6471086,KALIMANTAN TIMUR,Swasta,RUMAH SAKIT HERMINA BALIKPAPAN,"26,877","227,944","254,853",C
308,3671126,BANTEN,Swasta,RS MURNI TEGUH CILEDUG,"16,922","236,894","253,816",C
309,3175304,DKI JAKARTA,Swasta,RS UMUM HERMINA PODOMORO,"21,066","232,673","253,739",C
310,3302213,JAWA TENGAH,Swasta,RSU WIRADADI HUSADA,"46,517","206,462","252,979",C
311,3175374,DKI JAKARTA,Swasta,RSIA PURI MEDIKA,"13,789","238,989","252,778",C
312,7204010,SULAWESI TENGAH,Pemerintah,RSUD POSO,"50,652","201,324","251,976",C
313,5171133,BALI,Swasta,RSU PURI RAHARJA,"20,264","231,132","251,398",C
314,7309016,SULAWESI SELATAN,Pemerintah,RSU SALEWANGENG MAROS,"34,694","216,318","251,013",C
315,3507098,JAWA TIMUR,Swasta,RSU MITRA DELIMA,"24,808","225,619","250,427",C
316,3278014,JAWA BARAT,Swasta,RS TASIK MEDIKA CITRATAMA (TMC),"28,040","221,953","249,993",C
317,3507085,JAWA TIMUR,Pemerintah,RSUD LAWANG,"16,817","232,388","249,205",C
318,1771062,BENGKULU,Swasta,RS.TIARA SELLA,"28,049","220,437","248,486",C
319,6172113,KALIMANTAN BARAT,Swasta,RS SANTO VINCENTIUS,"30,818","217,458","248,277",C
320,1272010,SUMATERA UTARA,Pemerintah,BPRSU DR. TENGKU MANSYUR,"19,555","228,077","247,633",C
321,3577086,JAWA TIMUR,Swasta,RS GRIYA HUSADA MADIUN,"11,318","234,823","246,141",C
322,3172520,DKI JAKARTA,Swasta,RS HARUM,"11,276","234,688","245,964",C
323,1273033,SUMATERA UTARA,Swasta,RS HARAPAN,"27,052","218,064","245,116",C
324,3371131,JAWA TENGAH,Swasta,RS HARAPAN,"30,759","213,289","244,048",C
325,5101016,BALI,Pemerintah,RSU NEGARA,"28,097","215,818","243,915",C
326,3510043,JAWA TIMUR,Pemerintah,RSUD GENTENG,"32,515","210,101","242,616",C
327,3529014,JAWA TIMUR,Pemerintah,RSU MUH ANWAR SUMENEP,"39,478","202,200","241,683",C
328,7471092,SULAWESI TENGGARA,Pemerintah,RSUD KOTA KENDARI,"33,080","208,218","241,300",C
329,3314045,JAWA TENGAH,Swasta,RSIA SARILA HUSADA,"19,981","221,282","241,263",C
330,3515141,JAWA TIMUR,Swasta,RSU BUNDA,"17,599","223,128","240,727",C
331,3318110,JAWA TENGAH,Swasta,RSU FASTABIQ SEHAT,"25,093","215,616","240,709",C
332,1406016,RIAU,Pemerintah,RSU BANGKINANG,"17,655","222,775","240,431",C
333,6472118,KALIMANTAN TIMUR,Pemerintah,RSUD INCHE ABDOEL MOEIS,"29,270","210,479","239,755",C
334,3204041,JAWA BARAT,Swasta,RS KEBONJATI,"23,280","215,777","239,057",C
335,3205021,JAWA BARAT,Pemerintah,RUMKIT TK IV GUNTUR GARUT,"24,314","214,593","238,907",C
336,3216072,JAWA BARAT,Swasta,RS BHAKTI HUSADA,"36,332","202,116","238,449",C
337,9201012,PAPUA,Pemerintah,RSU MERAUKE,"27,254","210,731","237,985",C
338,1901016,BANGKA BELITUNG,Pemerintah,RS UMUM DAERAH DEPATI BAHRIN,"26,416","211,318","237,735",C
339,3216104,JAWA BARAT,Swasta,RS KARYA MEDIKA,"25,741","211,440","237,184",C
340,7102014,SULAWESI UTARA,Pemerintah,RSU DR.SAM RATULANGI,"15,404","221,255","236,659",C
341,3203037,JAWA BARAT,Pemerintah,RSUD CIMACAN,"27,461","208,583","236,044",C
342,5303033,NTT,Pemerintah,RS BHAYANGKARA,"25,935","209,850","235,786",C
343,5206015,NTB,Pemerintah,RSU RABA,"47,093","188,664","235,757",C
344,3671207,BANTEN,Swasta,RS DINDA,"40,951","193,308","234,486",C
345,3208035,JAWA BARAT,Swasta,RS SEKAR KEMULYAN,"35,100","198,942","234,042",C
346,3506062,JAWA TIMUR,Swasta,RS AURA SYIFA,"32,465","201,507","233,975",C
347,3276135,JAWA BARAT,Swasta,RS SIMPANGAN DEPOK,"21,749","210,247","231,999",C
348,3525096,JAWA TIMUR,Swasta,RS PETROKIMIA GRESIK DRIYOREJO,"16,308","214,586","230,895",C
349,6106016,KALIMANTAN BARAT,Pemerintah,RSUD DR. AGUSDJAM KETAPANG,"27,479","202,357","229,836",C
350,1211011,SUMATERA UTARA,Pemerintah,RSU KABANJAHE,"13,223","216,188","229,412",C
351,3172531,DKI JAKARTA,Swasta,RS HARAPAN JAYAKARTA,"12,237","216,604","228,841",C
352,1571158,JAMBI,Pemerintah,RSUD H.ABDUL MANAP KOTA JAMBI,"20,750","207,711","228,462",C
353,7318010,SULAWESI SELATAN,Swasta,RSU ELIM RANTEPAO,"54,773","173,379","228,153",C
354,3327021,JAWA TENGAH,Swasta,RS SANTA MARIA PEMALANG,"36,088","191,642","227,730",C
355,3272062,JAWA BARAT,Swasta,RS KARTIKA KASIH,"31,885","195,449","227,334",C
356,1803021,LAMPUNG,Pemerintah,"RSUD DR. H. BOB HAZAR, SKM","53,196","173,883","227,079",C
357,1471150,RIAU,Swasta,RS PROF. DR. TABRANI,"9,189","217,478","226,667",C
358,3327045,JAWA TENGAH,Swasta,RS PRIMA MEDIKA,"32,646","193,363","226,009",C
359,1275930,SUMATERA UTARA,Swasta,RSU HERMINA MEDAN,"20,217","205,411","225,628",C
360,3374091,JAWA TENGAH,Pemerintah,BHAYANGKARA TK III SEMARANG,"18,499","206,600","225,099",C
361,3316014,JAWA TENGAH,Pemerintah,RS. DR. R. SOETIJONO BLORA,"27,305","196,502","223,807",C
362,1110053,NAD,Swasta,RS ARUN LHOKSEUMAWE,"59,223","164,190","223,413",C
363,3215078,JAWA BARAT,Swasta,RS ISLAM KARAWANG,"26,609","196,565","223,174",C
364,3212031,JAWA BARAT,Pemerintah,RSUD PANTURA M.A. SENTOT PATROL,"35,176","187,939","223,115",C
365,5102044,BALI,Swasta,RSU WISMA PRASHANTI,"15,422","207,382","222,804",C
366,1171096,NAD,Swasta,RSIA HARAPAN BUNDA,"69,563","152,799","222,364",C
367,7304011,SULAWESI SELATAN,Pemerintah,RSUD LANTO DAENG PASEWANG,"47,780","172,606","220,389",C
368,3512034,JAWA TIMUR,Swasta,RS ELIZABETH PTP NUSANTARA XI,"18,469","201,707","220,182",C
369,6474034,KALIMANTAN TIMUR,Swasta,RUMAH SAKIT ISLAM BONTANG,"19,451","200,559","220,012",C
370,7173051,SULAWESI UTARA,Swasta,RS GUNUNG MARIA,"39,747","180,157","219,904",C
371,3521014,JAWA TIMUR,Swasta,RS WIDODO,"21,591","197,515","219,106",C
372,2071023,KEPULAUAN RIAU,Swasta,RS HARAPAN BUNDA BATAM,"35,223","183,442","218,665",C
373,3521015,JAWA TIMUR,Swasta,RSI AT TIN HUSADA,"27,277","190,229","217,506",C
374,7372031,SULAWESI SELATAN,Pemerintah,RS TK IV DR. SUMANTRI,"36,256","181,152","217,408",C
375,3515131,JAWA TIMUR,Swasta,RS CITRA MEDIKA,"25,386","191,173","216,559",C
376,3174416,DKI JAKARTA,Swasta,RS PATRIA IKKT,"14,930","201,551","216,481",C
377,5271032,NTB,Swasta,RS ISLAM SITI HAJAR,"10,797","204,861","215,658",C
378,3215160,JAWA BARAT,Swasta,RS PURI ASIH,"27,664","187,845","215,509",C
379,3216362,JAWA BARAT,Swasta,RS KARYA MEDIKA II,"18,344","197,128","215,475",C
380,3216420,JAWA BARAT,Swasta,RS MEDIROSSA 2,"35,325","179,706","215,031",C
381,2071050,KEPULAUAN RIAU,Swasta,RUMAH SAKIT UMUM GRAHA HERMINE,"31,095","182,154","213,249",C
382,1671331,SUMATERA SELATAN,Pemerintah,RS BHAYANGKARA PALEMBANG,"24,895","188,321","213,216",C
383,1109027,NAD,Pemerintah,RSUD TGK. ABDULLAH SYAFI'I BEUREUNUEN,"52,130","160,721","212,853",C
384,3204101,JAWA BARAT,Pemerintah,RSUD CICALENGKA,"23,999","187,970","211,969",C
385,1403013,RIAU,Pemerintah,RSUD PURI HUSADA TEMBILAHAN,"40,111","170,787","210,898",C
386,3509032,JAWA TIMUR,Pemerintah,RUMKIT TK.III BALADIKA HUSADA JEMBER,"40,575","170,235","210,810",C
387,3214034,JAWA BARAT,Swasta,RSKB RAMA HADI,"27,390","183,152","210,541",C
